@relation topic-0.txt

@attribute method {0,1}
@attribute classification {0,1}
@attribute based {0,1}
@attribute representation {0,1}
@attribute database {0,1}
@attribute space {0,1}
@attribute heuristic {0,1}
@attribute function {0,1}
@attribute partial {0,1}
@attribute using {0,1}
@attribute spatial {0,1}
@attribute discovery {0,1}
@attribute analysis {0,1}
@attribute error {0,1}
@attribute dynamic {0,1}
@attribute decision {0,1}
@attribute sequential {0,1}
@attribute estimation {0,1}
@attribute random {0,1}
@attribute tree {0,1}
@attribute application {0,1}
@attribute via {0,1}
@attribute statistical {0,1}
@attribute pruning {0,1}
@attribute multi {0,1}
@attribute constraint {0,1}
@attribute sense {0,1}
@attribute structure {0,1}
@attribute detection {0,1}
@attribute dimensional {0,1}
@attribute clustering {0,1}
@attribute induction {0,1}
@attribute structured {0,1}
@attribute rule {0,1}
@attribute searching {0,1}
@attribute matching {0,1}
@attribute algorithm {0,1}
@attribute bounded {0,1}
@attribute construction {0,1}
@attribute time {0,1}
@attribute genetic {0,1}
@attribute metric {0,1}
@attribute value {0,1}
@attribute mining {0,1}
@attribute search {0,1}
@attribute data {0,1}
@attribute distribution {0,1}
@attribute incremental {0,1}
@attribute association {0,1}
@attribute scheme {0,1}
@attribute indexing {0,1}
@attribute frequent {0,1}
@attribute itemsets {0,1}
@attribute online {0,1}
@attribute stream {0,1}
@attribute geometric {0,1}
@attribute extended {0,1}
@attribute parallel {0,1}
@attribute graph {0,1}
@attribute efficient {0,1}
@attribute similarity {0,1}
@attribute string {0,1}
@attribute attribute {0,1}
@attribute approximate {0,1}
@attribute sampling {0,1}
@attribute finding {0,1}
@attribute sequence {0,1}
@attribute set {0,1}
@attribute entropy {0,1}
@attribute edge {0,1}
@attribute improved {0,1}
@attribute length {0,1}
@attribute flow {0,1}
@attribute computing {0,1}
@attribute generalized {0,1}
@attribute cluster {0,1}
@attribute matrix {0,1}
@attribute solution {0,1}
@attribute pattern {0,1}
@attribute binary {0,1}
@attribute technique {0,1}
@attribute local {0,1}
@attribute optimal {0,1}
@attribute linear {0,1}
@attribute datasets {0,1}
@attribute temporal {0,1}
@attribute dimension {0,1}
@attribute directed {0,1}
@attribute dimensionality {0,1}
@attribute reduction {0,1}
@attribute computation {0,1}
@attribute approximation {0,1}
@attribute decomposition {0,1}
@attribute gene {0,1}
@attribute expression {0,1}
@attribute privacy {0,1}
@attribute preserving {0,1}
@attribute approximating {0,1}
@attribute independent {0,1}
@attribute detecting {0,1}
@attribute bound {0,1}
@attribute correlation {0,1}
@attribute minimal {0,1}
@attribute abstract {0,1}
@attribute simple {0,1}
@attribute polynomial {0,1}
@attribute line {0,1}
@attribute complexity {0,1}
@attribute weighted {0,1}
@attribute measure {0,1}
@attribute fast {0,1}
@attribute event {0,1}
@attribute discovering {0,1}
@attribute path {0,1}
@attribute free {0,1}
@attribute closed {0,1}
@attribute map {0,1}
@attribute planar {0,1}
@attribute minimum {0,1}
@attribute distance {0,1}
@attribute series {0,1}
@attribute compression {0,1}
@attribute massive {0,1}
@attribute near {0,1}
@attribute field {0,1}
@attribute efficiently {0,1}
@attribute partitioning {0,1}
@attribute outlier {0,1}
@attribute subspace {0,1}
@attribute maximum {0,1}
@attribute testing {0,1}
@attribute convex {0,1}
@attribute lower {0,1}
@attribute sparse {0,1}

@data
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
