@RELATION data

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL

@DATA
5.718650,13.635100
7.260130,19.297100
3.279300,10.268900
10.882000,9.610130
13.086000,18.448900
12.910200,16.604900
17.762501,9.851010
10.584900,7.441780
7.272710,6.137080
11.345300,12.181400
10.205400,8.252710
4.957620,5.698940
19.937099,12.875600
16.740801,8.305280
17.678900,9.840020
16.947599,14.237000
18.213800,17.249300
18.881001,12.516800
16.265600,18.451300
7.707950,11.597800
7.097330,4.206380
15.598000,7.178220
13.570900,4.244450
15.127900,17.953400
14.037400,4.637570
8.423320,7.470520
5.398690,16.834200
11.752400,20.257299
10.670700,2.569830
18.877701,12.034400
5.252380,10.485500
4.986730,10.821000
14.556300,3.146230
17.173700,5.114400
6.233020,14.316600
5.486750,13.626200
16.015200,5.319670
15.073200,12.553400
5.010390,9.820800
19.502399,12.119600
5.616140,11.623100
10.388000,11.459600
9.720740,15.726800
16.677799,10.539500
12.909000,11.869600
11.857600,3.381550
7.619220,17.894600
5.940490,15.647100
13.035400,15.854200
19.730499,7.887530
9.779230,9.299210
9.476760,15.513300
12.959200,14.063800
8.951720,17.340401
8.179850,15.032600
4.460160,10.302300
17.933201,14.902300
3.518060,17.067200
10.169500,15.461000
12.874700,14.325100
16.241800,13.616600
9.612500,16.292500
12.705100,7.920780
16.515900,15.511600
18.684200,4.855820
7.547100,15.048700
17.524099,14.730900
15.245300,14.749600
5.065290,9.534870
18.203100,6.419590
14.130200,13.791500
13.823200,16.721001
16.888000,11.924000
11.029400,19.112900
3.090310,13.385400
15.441500,18.775900
10.410200,5.464640
20.528601,10.446000
6.653210,6.653190
15.280800,11.153400
8.888600,5.513380
10.213400,20.216299
20.794500,11.460600
15.857200,9.611600
7.957590,11.989700
19.950800,12.966200
15.477200,14.531400
11.568800,17.922400
12.899600,21.175501
15.389000,12.872900
11.471000,21.505600
10.220800,4.580080
16.529699,3.537120
9.491370,9.615170
2.687220,13.274400
16.302099,10.764600
13.374600,8.190540
13.970100,10.255700
6.111440,15.240900
19.500799,7.583940
5.816630,13.278400
16.839300,19.357401
12.393100,19.682600
20.068899,7.314390
5.189910,16.585199
17.982401,12.650700
9.624120,3.409100
19.566099,7.529190
13.192000,11.054100
15.482000,15.429100
7.066330,6.319050
17.829500,7.933120
16.275400,16.446199
6.281930,17.172600
18.684200,17.234200
7.818810,5.744090
16.339300,11.940300
5.980170,10.618600
3.536020,15.523700
20.493700,11.098200
4.659310,17.094801
11.650200,9.806450
13.276100,18.964399
8.302550,13.783200
12.127700,17.379200
15.042000,6.654910
11.629200,3.433200
16.027201,13.249400
15.230700,19.549000
20.922800,10.833600
19.631599,17.716801
8.387190,15.003900
12.944800,4.689610
13.154500,2.498520
4.170020,10.588000
18.625700,13.599700
8.490760,7.777120
15.812500,18.904699
6.476350,13.371000
2.839780,15.385300
9.234940,11.603100
15.486200,7.886330
8.783860,4.882850
14.156100,11.625900
14.857900,14.270400
15.330400,18.232300
18.487101,10.860700
17.895100,12.741800
13.988200,8.609100
3.117810,10.581100
14.431600,15.061700
16.336800,15.947300
21.720301,13.272900
15.052600,4.917850
3.361700,15.142200
13.384500,13.335300
21.454800,11.820700
12.347300,18.523800
3.963140,13.869800
12.609600,10.420700
9.425930,13.868000
12.541000,18.492901
16.815100,17.932199
14.133900,12.819100
11.648800,15.185300
14.302500,9.884210
16.040100,3.559110
19.491501,12.079600
7.249010,16.130400
4.781040,12.301800
9.926110,19.427900
17.775900,8.865490
12.039700,17.636999
9.993100,19.785500
18.113100,19.370701
11.704300,4.647070
8.079350,12.485900
6.705340,15.429200
9.629400,9.303880
12.089000,15.183700
9.734620,16.926399
8.511560,20.015200
4.980560,6.150480
21.937300,11.198000
21.205999,9.985650
10.886600,11.977100
13.777900,8.386050
5.570520,8.668870
3.436040,16.669001
20.394501,14.718000
6.170280,6.367370
4.856830,16.818199
14.538100,15.087400
4.272550,10.598600
5.027760,12.209500
9.610730,6.599060
14.860000,21.525600
14.289700,21.539301
11.217000,14.916900
7.125990,9.672350
6.481780,5.488570
3.564440,10.478100
11.768300,16.273500
19.758600,14.815600
13.427300,3.127210
5.862310,12.719600
13.404200,20.732100
13.365900,18.524599
7.066790,14.559200
5.414180,6.108010
15.944000,16.924801
16.260300,16.956100
10.998800,4.511710
18.837299,14.449000
9.349910,14.800300
3.520120,16.565901
5.188880,5.069110
4.415870,18.136900
19.351999,9.193230
17.078100,11.246900
17.533199,18.927999
9.659820,18.267599
2.649040,11.878200
17.426300,5.113590
20.952700,11.477700
5.002570,15.390700
19.495800,6.578330
12.085900,19.661699
13.488800,16.934299
4.474620,7.999360
12.359200,12.391800
18.280199,8.400910
5.764020,4.912850
16.529200,4.805150
14.038900,17.282600
12.471700,19.602699
9.702870,7.483130
5.511560,7.781780
8.723130,5.748880
9.210590,20.918400
9.430300,10.635000
18.191200,11.728600
16.240700,20.921301
8.291150,21.190500
16.177299,4.574940
9.114830,8.018970
21.963100,12.383500
8.406590,11.601700
13.228700,20.390800
19.259399,12.696100
8.847530,4.000030
5.172520,17.054600
4.848070,11.320600
7.999950,12.231200
9.990540,14.564700
10.097500,12.532800
7.848510,14.578300
19.906700,11.333600
18.367100,13.401800
4.907840,18.209000
4.220050,8.025760
18.262501,16.620100
15.577600,3.554870
20.260401,16.570999
3.308290,11.547100
21.464199,14.570900
13.118300,2.847860
18.995600,16.918900
17.198299,15.527000
8.484830,4.447580
11.144000,5.080890
6.667250,8.832710
12.389700,4.336810
3.781290,8.956780
11.443400,19.829000
12.507500,18.209299
18.342199,14.593800
12.756200,3.564790
14.227800,18.603800
12.980500,13.462900
2.420230,11.559300
4.762760,12.783500
3.572510,15.647100
6.182550,19.838699
14.389100,15.451000
11.646900,6.574500
10.006500,10.982400
8.003620,5.660780
3.557850,8.844370
17.020399,13.160900
10.994400,8.728150
14.216300,7.111530
18.743700,13.085000
14.618800,12.385200
16.497000,6.705230
16.997999,12.731100
14.502400,9.445920
21.556101,14.038600
15.014200,5.199200
18.793800,5.506020
8.938140,13.793300
8.390710,14.485800
11.330500,21.539499
5.974880,9.298670
8.958200,8.741110
5.058910,18.558500
7.649730,5.954830
14.652400,18.721001
13.406800,2.571220
14.842900,11.671200
16.146601,6.968000
10.030300,20.593599
19.781401,14.482900
14.139200,10.044800
4.805680,10.412000
20.028500,6.804680
6.344460,4.601400
14.788300,4.694760
16.599300,7.707390
15.644000,5.056260
3.733690,11.718000
5.172630,14.015100
17.057899,15.643900
19.706200,6.906530
18.663099,13.836000
6.766710,9.509420
12.927300,19.982700
10.596500,11.437200
4.721680,12.031200
8.679050,16.241199
12.276200,4.109330
8.171920,14.559300
12.132500,13.623100
20.178900,15.171800
11.015200,21.684401
12.298100,11.728300
17.913601,19.714001
13.321400,7.743180
12.416900,8.896820
17.517500,15.573100
3.088300,14.490500
4.969210,14.093800
11.520900,16.928699
9.746250,6.622450
18.421499,7.348290
8.459620,13.798100
21.273100,14.932700
12.367000,18.539600
11.363800,8.328970
16.140800,10.382800
14.805200,3.844970
19.138700,14.704600
21.680000,12.232000
7.030280,13.048900
15.240500,6.423960
12.279000,14.942700
3.059540,10.555500
10.854400,18.581100
14.133400,8.156200
7.924000,4.210780
12.128500,9.171090
16.246099,16.715500
12.537600,3.786280
14.496200,9.560560
18.053400,12.097100
8.818320,14.734600
20.587999,8.485330
9.649420,6.680590
6.170590,14.855600
17.031601,14.934300
8.782180,4.548300
4.456260,8.052770
11.604100,4.544260
9.025340,10.523200
19.475000,16.685400
13.125500,7.290730
14.146300,8.705400
6.457520,8.946570
8.813040,20.294701
21.404200,12.237100
17.903400,12.830100
11.108200,20.367800
12.799000,12.612300
20.321400,9.103930
15.233700,7.949830
13.969600,14.773900
18.473000,8.949680
19.827200,17.015400
20.284300,11.658400
10.898000,3.278980
19.148500,11.804700
15.038700,3.356460
2.875340,10.801100
4.883900,10.003700
14.607100,2.556600
12.911700,2.123480
11.493700,20.800699
14.682000,21.455601
5.367070,13.612400
17.571301,15.593900
10.667900,2.942050
3.178140,7.881070
3.529620,16.352301
11.765900,20.837500
10.677600,6.350930
17.940100,14.440700
14.013000,14.044200
11.979900,17.196400
9.321970,12.469100
16.870600,4.730520
20.431000,11.558200
10.107700,7.597250
20.526699,14.152400
12.742600,19.305000
16.312401,7.106900
5.183570,12.523100
15.444100,15.258300
6.070960,7.073090
4.748920,12.915000
10.460500,6.596590
9.973000,17.809999
18.877100,7.653490
14.748200,12.745800
7.070060,18.455299
6.516040,3.648460
6.378560,15.915900
4.289870,17.101900
12.138100,4.351740
17.781500,13.031800
14.506100,13.387400
6.531970,8.061320
9.837320,18.702299
10.438900,11.202900
11.056700,21.471800
20.464199,9.145080
3.882280,10.938100
14.889500,18.609600
18.657200,12.041700
19.256399,12.878200
3.795590,14.807700
9.510820,7.419020
3.216110,8.783370
10.274600,5.784820
4.099150,16.365499
13.499100,5.241820
3.521360,11.447700
12.975100,15.428400
15.436800,18.340900
11.236500,12.198000
9.944370,18.211399
17.096001,19.345400
17.433701,16.179300
7.535310,6.838990
10.911300,5.307070
19.817499,9.200440
10.577300,18.111500
13.850100,16.200100
16.212700,5.058790
13.336500,3.777830
20.866501,16.017599
8.223730,18.198400
13.566600,7.053650
10.592500,17.525000
8.421630,9.102750
12.553700,9.993250
17.520000,15.846000
10.407400,4.016260
6.184000,7.770220
8.784050,6.496090
6.840490,19.371201
6.761980,13.870700
15.603400,12.299400
18.656700,17.000700
8.451170,5.645790
18.618900,11.550300
16.951799,20.286501
20.080099,7.699920
10.105300,15.036200
12.267900,14.960700
7.031460,5.055570
7.083480,3.614530
15.643700,15.559000
13.368600,18.846800
14.016600,12.828800
14.680700,10.804000
13.364700,16.624001
13.615500,13.651700
5.479890,6.278050
6.669890,16.967501
19.888800,11.420300
16.576599,15.129500
2.625160,10.566900
19.387501,18.133400
7.533990,11.565800
11.942200,14.175100
12.772400,15.114700
