@RELATION data

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL

@DATA
0.132781,0.415530
0.187861,0.617854
0.045618,0.295244
0.317279,0.271703
0.396033,0.587545
0.389751,0.521652
0.563134,0.280311
0.306663,0.194220
0.188311,0.147599
0.333834,0.363584
0.293102,0.223198
0.105588,0.131942
0.640838,0.388391
0.526627,0.225076
0.560147,0.279918
0.534016,0.437038
0.579260,0.544679
0.603101,0.375569
0.509647,0.587630
0.203863,0.342730
0.182044,0.078608
0.485792,0.184802
0.413359,0.079968
0.468994,0.569839
0.430028,0.094016
0.229425,0.195247
0.121348,0.529846
0.348380,0.652165
0.309729,0.020128
0.602983,0.358331
0.116120,0.302984
0.106628,0.314972
0.448570,0.040725
0.542095,0.111055
0.151160,0.439883
0.124495,0.415212
0.500699,0.118390
0.467040,0.376877
0.107473,0.279231
0.625305,0.361376
0.129118,0.343634
0.299627,0.337792
0.275784,0.490274
0.524376,0.304913
0.389708,0.352442
0.352139,0.049134
0.200692,0.567738
0.140708,0.487426
0.394225,0.494827
0.633455,0.210149
0.277874,0.260593
0.267067,0.482645
0.391502,0.430849
0.248306,0.547934
0.220725,0.465468
0.087812,0.296437
0.569234,0.460812
0.054149,0.538172
0.291820,0.480776
0.388482,0.440186
0.508796,0.414869
0.271917,0.510489
0.382422,0.211337
0.518591,0.482584
0.596069,0.101815
0.198115,0.466043
0.554616,0.454687
0.473189,0.455355
0.109435,0.269014
0.578878,0.157694
0.433344,0.421119
0.422374,0.525801
0.531887,0.354386
0.322546,0.611272
0.038865,0.406608
0.480200,0.599230
0.300420,0.123570
0.661973,0.301572
0.166175,0.166041
0.474458,0.326850
0.246050,0.125312
0.293388,0.650700
0.671474,0.337827
0.495054,0.271756
0.212783,0.356734
0.641327,0.391628
0.481476,0.447558
0.341820,0.568731
0.389372,0.684976
0.478324,0.388294
0.338325,0.696772
0.293653,0.091962
0.519084,0.054693
0.267589,0.271884
0.024461,0.402641
0.510951,0.312957
0.406345,0.220976
0.427624,0.294772
0.146816,0.472911
0.625248,0.199300
0.136282,0.402784
0.530146,0.620009
0.371274,0.631629
0.645547,0.189668
0.113888,0.520948
0.570992,0.380354
0.272332,0.050118
0.627581,0.197344
0.399820,0.323302
0.481647,0.479636
0.180937,0.154101
0.565528,0.211778
0.509997,0.515981
0.152908,0.541938
0.596069,0.544139
0.207824,0.133556
0.512280,0.354969
0.142126,0.307740
0.054791,0.483017
0.660726,0.324878
0.094928,0.539158
0.344728,0.278719
0.402825,0.605965
0.225109,0.420822
0.361790,0.549320
0.465925,0.166103
0.343978,0.050979
0.501128,0.401748
0.472668,0.626855
0.676059,0.315422
0.629921,0.561384
0.228134,0.464442
0.390987,0.095875
0.398480,0.017580
0.077445,0.306646
0.593978,0.414265
0.231835,0.206203
0.493457,0.603832
0.159855,0.406093
0.029913,0.478071
0.258426,0.342919
0.481797,0.210106
0.242308,0.102781
0.434270,0.343734
0.459347,0.438232
0.476230,0.579805
0.589026,0.316391
0.567872,0.383609
0.428270,0.235933
0.039847,0.306400
0.444114,0.466508
0.512191,0.498153
0.704555,0.402587
0.466304,0.104031
0.048562,0.469384
0.406699,0.404817
0.695068,0.350695
0.369637,0.590221
0.070053,0.423917
0.379010,0.300668
0.265250,0.423853
0.376559,0.589117
0.529282,0.569081
0.433476,0.386372
0.344678,0.470924
0.439501,0.281497
0.501589,0.055479
0.624915,0.359947
0.187464,0.504696
0.099278,0.367887
0.283123,0.622528
0.563613,0.245095
0.358646,0.558533
0.285516,0.635306
0.575662,0.620484
0.346661,0.094355
0.217134,0.374465
0.168038,0.479640
0.272521,0.260760
0.360408,0.470867
0.276280,0.533140
0.232578,0.643514
0.106407,0.148078
0.712309,0.328444
0.686178,0.285122
0.317443,0.356284
0.420756,0.227963
0.127488,0.238069
0.051218,0.523942
0.657182,0.454226
0.148919,0.155828
0.101986,0.529274
0.447919,0.467426
0.081109,0.307025
0.108094,0.364588
0.271854,0.164107
0.459422,0.697486
0.439044,0.697976
0.329249,0.461334
0.183068,0.273927
0.160049,0.124425
0.055806,0.302719
0.348948,0.509810
0.634459,0.457714
0.408228,0.040045
0.137914,0.382816
0.407403,0.669132
0.406034,0.590250
0.180953,0.448552
0.121902,0.146560
0.498155,0.533083
0.509457,0.534202
0.321452,0.089518
0.601539,0.444614
0.262534,0.457167
0.054223,0.520258
0.113851,0.109436
0.086230,0.576396
0.619931,0.256806
0.538679,0.330191
0.554941,0.604665
0.273608,0.581066
0.023097,0.352750
